course_id,department,academic_year,semester,course_code,course_name,course_description,course_type,level,track,prerequisites,teaching_background,instructor,coordinator,sections,syllabus_file,matrix_file,lab_syllabus_file,slides_file,labs_file,assessments_file,rubrics_file,esr_file,coordination_file,status,last_opened
CPIS351_2025_2026_SecondSemester,Information Systems,2025-2026,Second Semester,CPIS-351,IS Analysis and Architecture Design,,Required,,,,,Dr. Sahar Jambi,,DAR,CPIS351_2025_2026_SecondSemester_syllabus.pdf,CPIS351_2025_2026_SecondSemester.xlsm,CPIS351_2025_2026_SecondSemester_lab_syllabus.pdf,CPIS351_2025_2026_SecondSemester_slides.zip,CPIS351_2026_2027_SecondSemester_labs.zip,['CPIS351_2025_2026_SecondSemester_assessment_package_1.zip'],,['CPIS351_2025_2026_SecondSemester_previous_esr_1.pdf'],"['CPIS351_2025_2026_SecondSemester_coordination_meeting_1.pdf', 'CPIS351_2025_2026_SecondSemester_coordination_meeting_2.pdf']",Current,2026-07-02 01:58
CPIS352_2025_2026_SecondSemester,Information Systems,2025-2026,Second Semester,CPIS-352,IS Applications Design and Development,,,,,,,Dr. Sahar Jambi,Dr. Sahar Jambi,AAR/EAR,CPIS352_2025_2026_SecondSemester_syllabus.pdf,CPIS352_2025_2026_SecondSemester.xlsm,,CPIS352_2025_2026_SecondSemester_slides.zip,CPIS352_2025_2026_SecondSemester_labs.pdf,['CPIS352_2025_2026_SecondSemester_assessment_package_1.zip'],,['CPIS352_2025_2026_SecondSemester_previous_esr_1.docx'],[],Current,2026-07-02 01:58
